id,Keyword,Tweet,Target
1,fitness,"Come and keep fit with us at CITY FITNESS AND AEROBICS CENTER LOCATED AT SUNCITY ESTATE, GALADIMAWA ABUJA.
We also have other games and the best Trainers in Abuja.
AbujaTwitterCommunity ",1
2,fitness,Hydration  Drink more water folks. newmanfitness ,1
3,fitness,"Students are protesting against offline exams because our 70-80% syllabus was completed online but college is conducting offline exams for last semester students. 

weWantOnlineExam wewantobe OnlineExamForAllSemestersOfDU delhiuniversity delhigovt nsui rvindKejriwal ",0
4,fitness,Raising your mental fitness to stay calm under pressure is motivational,0
5,fitness,Thala AJITH Fitness Level  He's Doing Only For His Fans ,0
6,fitness,Cristiano Ronaldo with the mufc Player of the Month award for March ,1
7,fitness,Chica fitness... ,1
8,fitness,Im mad I NEVER Noticed this &amp; how well it fuckin works LMAOOOOO ,0
9,fitness,"fitness beauty, ",1
10,fitness,After workout  Hairyboy ,1
11,fitness,"Getting foxxxy with fitness, be my witness  ",1
12,fitness,OurHealth: 04-04-2022 Reduce Pain Today! Health and Fitness Top 10 HealthandFitness || Courtesy of Fitness Help For You Subscribe by,1
13,fitness,"On April 5, 2022, personnel of this station under the supervision of PMAJ DANIEL F PEL-EY, ACOP, conducted 4 Minutes Fitness Habit held inside this station. ",0
14,fitness,"Shehnaaz Gill has shared her diet secrets saying: Haldi water with apple cider vinegar is a must for me every morning.



ShehnaazGill WeightLoss DietSecret BiggBoss13 Fitness",1
15,fitness,Continue humankind's story in this next-generation multiplayer sandbox survival experience - ARK II powered by UnrealEn,0
16,fitness,itnessScorpio 4 Keys To Unlocking the Hidden Strength That Is Within You fitness bodybuilding ,1
17,fitness,artialArts4Fun 4 Keys To Unlocking the Hidden Strength That Is Within You fitness bodybuilding ,1
18,fitness,The post The 5-Move Leg-Day Warm Up for Injury Prevention appeared first on Oxygen Mag. The post The 5-Move Leg-Day Warm Up for Injury Prevention appeared first on Fit Living Magazine - Female Fitness News.  Exercise Fitness,1
19,fitness,BabyNeeSugar Dance Tutorial ,1
20,fitness,Important fitness testing update: ,1
21,fitness,"Designed with You in mind, Platinum GYM &amp; Fitness Center provide a top-notch fitness experience. At Platinum Gym, time is not a limitation as the gym is open 24/7...
fitness FitnessGoals 
",1
22,fitness," april messages  fire placements (aries, leo, sagittarius  

 getting closer with your best friend

 travel... some are planning over-seas or out of country travel 

 your anxiety is lying to you! you'll figure that out

 reading more 

 hitting fitness goal",0
23,fitness,Six Pack abs  Fitness Tears ,1
24,fitness,"It's Bug Oil.

This is so much worse than I thought. eedOilDsrspctr just said he ""doesn't have details about the prod",0
25,fitness,"$500 OR $500?  

72 HOURS LEFT!

WEEKLY ashapp GIVEAWAY!

FOLLOW onamewaves 

MUST FOLLOW RULES BELOW! 

QYOUR CAS",0
26,fitness,Funny but true. ,0
27,fitness,Calum Von Moger Workout and Diet Program  bodybuilding fitness,1
28,fitness,Calories Burned Playing Hockey Calculator  bodybuilding fitness,1
29,fitness,bnwphotography fineartphotography selfportrait ArtistOnTwitter photography art statuesque fineart implied ,0
30,fitness,"Buying the right fitness tracker for you will help you take your training further but buying the wrong one will likely trigger regret. Consider several factors when buying a fitness tracker.
",1
31,fitness,Happy birthday JA_Cortes ,0
32,fitness,Who completed it? ,0
33,fitness,totalfitness ,0
34,fitness,sport healthy gymlife Smart Bracelet with Heart Rate Fitness Tracker  ,1
35,fitness,Cristiano Ronaldo with his Manchester United Player of the Month award for March. MUFC ,1
36,fitness,Tiger Woods believes he can win a sixth Green Jacket this week. themasters ,1
37,fitness,watch acne removal video     Expert Dermats Share How To Remove Blackheads &amp; Whiteheads Properly &amp; Why They Keep Coming Back -  acnescars,0
38,fitness,An image you can hear MUFC | PhotoOfTheDay ,0
39,fitness,The Relationship Between Testosterone and Muscle ,1
40,fitness,"Patrick Vieiras Philosophy:
Trust, Reward, Loyalty, Satisfaction.
CRYARS ",0
41,fitness,sportsandfitness hurdles Quick Dry Fitness Compression T-Shirt for Men  ,1
42,fitness,I be up in the gym just working on my fitness-fergie ,1
43,fitness,Hi there  ,0
44,fitness,"Hmmm. 
a) Ronaldos scored 18 goals for Utd this season, in a poor side, aged 37. Last time Rooney scored 20 in a season f",1
45,fitness,Importance of Exercise. exercise Brain performance ,0
46,fitness,Foldable Exercise Bike LCD Display Magnetic Fitness Cycle Backrest Adjustable  eBay ,1
47,fitness,Melissa is our random $20 MyZone winner,0
48,sports,"Football fans on twitter, Make yourself available join our space by 2pm today.

Our main topic is ""Sport Talkshow Space"".Where we are going to talk more about sports. 

Don't miss it, it's going to educative and fun.

Join the space here  

wealthsecrets ",1
49,sports,"Today is WealthSecrets sports talk show and TDTrey is the host.He will be talking about the Champions League games by 13:00pm UTC /2pm Nigeria time

Dont miss this! See you there.
  ",1
50,sports,lets comment good things under this post!! its a big sports acc and the comments are kinda getting toxic :( BamBamXGSW ,0
51,sports,"Join our hosts Secrets_WSC by 2pm every Wednesday , they will be talking about all sports matters WealthSecrets 

Its going to be fun and interesting 

Set your reminder , dont miss it.
 ",1
52,sports,"Ishan Kishan Recalls Incident.
Ishan tried to read Dhoni's mind and failed.He said that he tried to figure out a conversation between Dhoni and Imran Tahir,but ended up losing his wicket.",0
53,sports,The Lakers have officially been eliminated from playoff contention. ,1
54,sports,Big game tomorrow!  UCL ,1
55,sports,I still cant believe Norms gone. The world is a poorer place. ,0
56,sports,17 Be Sports! Wednesday Be Happy! Wednesday,0
57,sports,"Who will draw first blood in the PVL2022 battle for third? Will it be Cignal   or Choco Mucho  ?

Catch the game LIVE at 3",1
58,sports,"yanpropz  BETERO 

 New platform for easy crypto sports betting
 multiple categories
 Early product development",0
59,sports,"boAt Xtend Smartwatch with Alexa Built-in, 1.69 HD Display, Multiple Watch Faces, Stress Monitor, Heart &amp; SpO2 Monitoring, 14 Sports Modes, Sleep Monitor &amp; 5 ATM Water Resistance(Sandy Cream)
AmazonStore  Mobiles
Buy Best Product With Great Offer Toda ",1
60,sports,The Lakers missed the playoffs  ,1
61,sports,This may be the worst take ever. ,0
62,sports,"Dear AGGLers, 

For all of you who are new to us. We also have an Instagram account! 

There we show once a week a meme o",0
63,sports,"HD SPIKERS COME ALIVE! 

Catch the game LIVE on One Sports and One Sports+.

You can also stream the game over at KUMU and htt",1
64,sports,"Whitelist Giveaway! 

The first NFT Fantasy Sports P2E platform on Terra  

We have 20 WL spots for layible MLB Start",0
65,sports,"Are you up to the challenge?

Use 40 Dreamy Spheres to get the Golden Undaunted Sports Car from Jimin's bundle series!",0
66,sports,"Devin Booker just took his jersey off, signed it, and gave it to Al McCoy. ",1
67,sports,"Sport builds character and character builds society.
Happy International day of Sports for Development and Peace.
sports",1
68,sports,"Sports romance drama FallingIntoYou, prod. by Youku and based on Twentines novel of same name, starring Jin Chen, Wang",0
69,sports,"A special moment here as Devin Booker hands a signed jersey to Al McCoy after the Suns set a franchise record for wins in a season! ValleyProud 

Full video:  ",1
70,sports,"KEYNOTE SPEAKER ANNOUNCEMENT

We are delighted to announce our first keynote speaker, Josephine Perry! Josephine is",0
71,sports,Noted team leader LeBron has seen enough as the Lakers are down 20 with a quarter to go until theyre officially eliminated from playoff contention. He has left the building. ,1
72,sports,"Hey CroFam, check out oo_nfts, an upcoming collection on Cronos! (Staking, Airdrops and more)

They are giving away 5W",0
73,sports,"PRIMARY GOALIE ASSIST.

14-GAME POINT STREAK FOR 97.

WE JUMP INTO SECOND IN THE PACIFIC.

SO MUCH GOODNESS FROM THIS O",1
74,sports,"Giveaway time! When I hit 3,000 followers, I will giveaway 

3,000 $XPR
3,000 $VRA
30,000 $LOAN
300,000 $KIBA

1 winner for",0
75,sports,"FLYING TITANS TAKE SET 1!  

Catch the game LIVE on One Sports and One Sports+.

You can also stream the game over at KUMU and",1
76,sports,Pepsi unveils 'Cracker Jill' version of 'Cracker Jack' to promote women's sports ,1
77,sports,"In Italy, to date, Mario Draghi prevents tens of thousands of unvaccinated children from playing sports. At the same time, it forces vaccinated children to train with the surgical mask, which is crazy. It has destroyed Italy and the psyche of our children, it must be stopped. ",0
78,sports,"We are excited for Sport4developmentandpeace 

Are you ready to Join us tomorrow onbi sports ground as we commemorate In",1
79,sports,"FLYING TITANS REPEAT IN SET 2!  

Catch the game LIVE on One Sports and One Sports+.

You can also stream the game over at KUMU",1
80,sports,The OnePlus10Pro sports a beautiful matte frosted glass back and our most fingerprint-resistant finish ever. Even Shark Susan,0
81,sports,"ICYMI  - A new look website for the Trust 

Thanks to our partners at lue2digital
 
Community Trust Manager Greg Fe",0
82,sports,"No, no one else have pigtails, ahhhhhhh

And dont I look like a kid who whines to their mum and dad

Sports day.

On the way to. ",1
83,sports,"So the Secrets_WSC will be holding a space today by 2:00pm (Nigerian time) and it'll be based mainly on sports 

Setup a reminder so you won't miss the fun that's gonna come up with it.

Here's the space link:  ",0
84,sports,"DIDN'T. BOW. DOWN. 

The New Orleans Pelicans have clinched a spot in the 2021-2022 Play-In Tournament!

elicansNBA | WBD ",1
85,workout,Couple that workout together.. Stays together..... PROUD TO STAN TEJRAN ,1
86,workout,I'm bored and i would love some kinda deep workout  if you know what i mean  ,0
87,workout,Workout Jock (Cell Block 13) ,1
88,workout,Workout with me?,1
89,workout,A sketchsheet for ra__chibi! Sori and Beau are gym buddies!  Sori gets really happy when Beau gives him some thigh rubs after a workout.  Enjoy! ,0
90,workout,"The emerald enchantress is having a good workout.
Theres more of this CG set and videos this month in ",1
91,workout,"Feels so late in the game but finally(!) had a workout that gave me a bit of confidence. Ill take the good energy heading into the final weeks of prep  and for the next round. 

Eyes up, lets go. 
Boston126",1
92,workout,workout day,1
93,workout,sunday workout ,1
94,workout,Workout  ,1
95,workout,Post workout effect,1
96,workout,First workout at 50  I almost died ,1
97,workout,"DeVante Parker wasnt at todays informal Patriots workout, but sounds like hes meeting up with some of his new teammates tonight. ",0
98,workout,Got a good workout in. Sweaty fur.  ,1
99,workout,"This is your reminder to workout (me to myself)

lexailacad AlexaIlacad ",1
100,workout, junhyeok workout pictures,0
101,workout,just wanted to get a workout in. ,1
102,workout,"Early workout, got a haircut, my first meeting as supervisor! ",1
103,workout, A workout break ,1
104,workout,"Remember, a 45min workout makes a big difference! ",1
105,workout,"ateez real position by seonghwa

hongjoong : pok-joong
seonghwa : the youngest
yunho : dance teacher
yeosang  : workout holic
san : visual
mingi : vocal
wooyoung : tension up
jongho : big brother

( seonghwaaa) ",0
106,workout,Definitely feeling a workout today. ,1
107,workout,keerthiSuresh Workout ,1
108,workout,"31 weeks, 9 more to go. Lets get it! Also, poser lang ako dito, I still need motivation (and enegry!!!) to workout  We upgra",1
109,workout,"Good project, glad to find this project, This project is going to be great, which devs doing to make the project workout and success. Thanks for your all hardwork
hakibMdnazmus 
hagor38690504 
huvo09126182 
ahabubul11 
abbiHa64 
bdulla31280434 ",0
110,workout,A sketchsheet for ra__chibi! Sori and Beau are gym buddies!  Sori gets really happy when Beau gives him some thigh rubs,0
111,workout,post-workout dudley... ,1
112,workout,Workout buddies ,1
113,workout,Enjoy your day I started my day with a hard and sexy workout. ,1
114,workout,Jungkook really called his Boxing trainer Tommy to LV coz he isn't satisfied with his body and wants to workout !!! ,0
115,workout,"tronco de pre workout, un besote ",1
116,workout,workout,1
117,workout,Carol's workout  ,1
118,workout,Miami workout done  ,1
119,workout,Evening workout  ,1
120,workout,Ya quedo el entreno de hoy  back &amp; shoulders workout. Fallow me in Instagram ito_ballesterosfit ,1
121,workout,tuesdayvibe  Killer back and arms workout done and i feel great. Gym is the best therapy ,1
122,workout,Tough shark workout ,1
123,workout,"Home Abs/Core Workout 
Abs CoreStrengthening ",1
124,workout,Mi pre workout ,1
125,workout,outdoor workout today ,1
126,workout,Send for my sweat simps Findom workout sub ,0
127,workout,Roc always says that putting on clothes is a workout. Comes with big junk and sweat. ,0
